Date,Last,Settlement Price,Change,% Change,Bid,Ask,Open Interest,CVol
03/27/26,2.39,2.39,0.07,2.84,2.39,2.39,"130,989.00",32180
02/27/26,2.32,2.32,-0.05,-1.93,2.32,2.34,"131,208.00",36564
01/30/26,2.37,2.37,0.05,2.25,2.36,2.37,"134,662.00",31563
12/31/25,2.32,2.32,0.14,6.31,2.31,2.33,"116,162.00",14217
11/28/25,2.18,2.18,-0.12,-5.15,2.16,2.19,"116,551.00",16854
10/31/25,2.30,2.30,-0.05,-2.17,2.29,2.30,"117,659.00",37016
09/30/25,2.35,2.35,-0.05,-2.03,2.34,2.35,"146,931.00",25602
08/29/25,2.40,2.40,0.17,7.39,2.40,2.40,"150,433.00",34150
07/31/25,2.23,2.23,0.09,4.34,2.22,2.24,"170,929.00",42364
06/30/25,2.14,2.14,0.05,2.16,2.12,2.14,"151,166.00",28307
05/30/25,2.09,2.09,0.01,0.46,2.09,2.10,"168,299.00",23671
04/30/25,2.08,2.08,0.05,2.33,2.08,2.09,"142,594.00",31828
03/31/25,2.04,2.04,0.11,5.71,2.03,2.04,"163,445.00",21705
02/28/25,1.93,1.93,-0.10,-4.77,1.93,1.93,"149,888.00",32219
01/31/25,2.02,2.02,0.11,5.58,2.01,2.02,"167,465.00",25992
12/31/24,1.92,1.92,0.03,1.58,1.91,1.92,"136,310.00",16611
11/29/24,1.89,1.89,0.02,1.25,1.88,1.89,"148,774.00",12185
10/31/24,1.86,1.86,0.01,0.81,1.86,1.86,"140,008.00",26563
09/30/24,1.85,1.85,0.06,3.47,1.85,1.85,"136,123.00",15355
08/30/24,1.79,1.79,-0.08,-4.33,1.78,1.79,"109,604.00",20139
07/31/24,1.87,1.87,0.01,0.67,1.87,1.87,"147,207.00",19349
06/28/24,1.85,1.85,0.07,3.91,1.85,1.85,"132,102.00",26691
05/31/24,1.78,1.78,0.03,1.99,1.78,1.79,"129,651.00",21139
04/30/24,1.75,1.75,-0.05,-2.93,1.75,1.75,"106,415.00",28912
03/28/24,1.81,1.80,-0.05,-2.75,1.80,1.81,"124,364.00",24003
02/29/24,1.86,1.85,0.05,2.57,1.85,1.86,"127,303.00",27858
01/31/24,1.81,1.81,0.12,7.24,1.81,1.81,"112,317.00",21731
12/29/23,1.69,1.69,-0.03,-1.94,1.68,1.69,"98,092.00",19830
11/30/23,1.72,1.72,-0.12,-6.39,1.72,1.72,"107,640.00",26288
10/31/23,1.84,1.84,-0.04,-2.33,1.84,1.84,"104,620.00",32988
09/29/23,1.88,1.88,0.07,3.93,1.88,1.89,"144,275.00",25824
08/31/23,1.81,1.81,0.01,0.72,1.80,1.81,"126,988.00",21010
07/31/23,1.80,1.80,0.02,1.33,1.80,1.80,"140,017.00",29029
06/30/23,1.77,1.77,0.09,5.67,1.76,1.77,"137,807.00",29597
05/31/23,1.68,1.68,0.02,1.33,1.67,1.68,"152,765.00",27333
04/28/23,1.65,1.65,0.03,2.07,1.65,1.66,"145,330.00",18289
03/31/23,1.62,1.62,-0.03,-2.02,1.61,1.62,"131,493.00",35141
02/28/23,1.65,1.65,0.02,1.50,1.65,1.66,"142,230.00",22294
01/31/23,1.63,1.63,0.05,3.25,1.63,1.63,"132,429.00",31725
12/30/22,1.58,1.58,0.02,1.43,1.58,1.58,"141,415.00",19501
11/30/22,1.56,1.56,0.03,2.10,1.55,1.56,"123,503.00",25381
10/31/22,1.53,1.52,0.05,3.69,1.52,1.53,"120,074.00",27180
09/30/22,1.47,1.47,0.04,3.14,1.47,1.47,"118,019.00",30183
08/31/22,1.43,1.43,0.00,0.25,1.42,1.43,"116,068.00",25903
07/29/22,1.42,1.42,0.10,7.28,1.42,1.43,"110,620.00",15793
06/30/22,1.33,1.33,0.02,1.69,1.32,1.33,"117,473.00",26149
05/31/22,1.30,1.30,-0.02,-1.72,1.30,1.33,"136,715.00",34944
04/29/22,1.33,1.33,-0.04,-3.26,1.33,1.34,"125,234.00",27598
03/31/22,1.37,1.37,-0.04,-3.04,1.37,1.37,"132,377.00",17401
02/28/22,1.42,1.41,-0.03,-2.14,1.41,1.42,"138,840.00",31989
01/31/22,1.44,1.45,0.05,3.45,1.44,1.45,"140,689.00",34442
12/31/21,1.40,1.40,0.02,1.31,1.40,1.40,"118,753.00",13979
11/30/21,1.38,1.38,0.09,6.67,1.38,1.39,"130,855.00",28190
10/29/21,1.29,1.29,0.04,2.82,1.29,1.30,"116,879.00",23695
09/30/21,1.26,1.26,-0.01,-0.93,1.26,1.26,"129,673.00",30962
08/31/21,1.27,1.27,0.00,-0.24,1.27,1.27,"118,857.00",30179
07/30/21,1.27,1.27,0.04,3.65,1.27,1.28,"126,375.00",17014
06/30/21,1.23,1.23,0.04,3.48,1.23,1.23,"125,068.00",23585
05/28/21,1.19,1.19,0.02,1.74,1.19,1.19,"145,642.00",17050
04/30/21,1.16,1.17,-0.06,-5.15,1.16,1.17,"123,485.00",22869
03/31/21,1.23,1.23,0.03,2.42,1.22,1.23,"148,923.00",21884
02/26/21,1.20,1.20,-0.02,-1.52,1.20,1.20,"140,263.00",30320
01/29/21,1.22,1.22,0.07,5.93,1.22,1.23,"140,317.00",31760
12/31/20,1.15,1.15,0.02,1.90,1.14,1.15,"109,771.00",14470
11/30/20,1.13,1.13,0.05,4.22,1.13,1.13,"111,409.00",22718
10/30/20,1.08,1.08,-0.04,-3.60,1.08,1.09,"104,076.00",25538
09/30/20,1.12,1.12,0.07,6.70,1.12,1.13,"127,486.00",24174
08/31/20,1.05,1.05,-0.03,-2.39,1.05,1.06,"117,088.00",21538
07/31/20,1.08,1.08,0.12,12.05,1.08,1.08,"123,874.00",20761
06/30/20,0.97,0.96,-0.03,-3.34,0.96,0.97,"129,371.00",23462
05/29/20,1.00,1.00,0.14,15.88,1.00,1.01,"115,123.00",24604
04/30/20,0.87,0.86,-0.06,-6.65,0.86,0.87,"115,032.00",22306
03/31/20,0.92,0.92,-0.16,-14.41,0.92,0.92,"120,287.00",22982
02/28/20,1.08,1.08,-0.12,-10.11,1.08,1.08,"135,148.00",47145
